subset,1,,num_trips,avg_duration,hours,minutes,seconds
all,2,1899,41,563.9024390243902,0.0,9.0,23.0
all,2,1900,9,888.7777777777778,0.0,14.0,48.0
all,3,2,53,1488.6037735849056,0.0,24.0,48.0
all,3,3,441,1128.6938775510205,0.0,18.0,48.0
all,3,5,311,632.8874598070739,0.0,10.0,32.0
all,3,7,47,1315.3191489361702,0.0,21.0,55.0
all,3,8,54,1439.9259259259259,0.0,23.0,59.0
all,3,22,15,1624.4666666666667,0.0,27.0,4.0
all,3,24,50,602.9,0.0,10.0,2.0
all,3,33,10,1269.9,0.0,21.0,9.0
all,3,34,58,1129.7068965517242,0.0,18.0,49.0
all,3,36,49,1452.4897959183672,0.0,24.0,12.0
all,3,49,64,1309.625,0.0,21.0,49.0
all,3,58,76,611.6842105263158,0.0,10.0,11.0
all,3,69,141,1018.531914893617,0.0,16.0,58.0
all,3,70,31,1241.9032258064517,0.0,20.0,41.0
all,3,75,43,1510.3720930232557,0.0,25.0,10.0
all,3,82,116,1208.4310344827586,0.0,20.0,8.0
all,3,83,17,1730.9411764705883,0.0,28.0,50.0
all,3,87,23,1712.1304347826087,0.0,28.0,32.0
all,3,98,10,1739.7,0.0,28.0,59.0
all,3,116,46,793.4347826086956,0.0,13.0,13.0
all,3,117,42,1322.904761904762,0.0,22.0,2.0
all,3,131,38,1290.342105263158,0.0,21.0,30.0
all,3,132,52,1111.4038461538462,0.0,18.0,31.0
all,3,138,22,1209.1363636363637,0.0,20.0,9.0
all,3,140,13,1239.076923076923,0.0,20.0,39.0
all,3,150,33,1699.060606060606,0.0,28.0,19.0
all,3,151,29,1452.8620689655172,0.0,24.0,12.0
all,3,156,93,1027.3118279569892,0.0,17.0,7.0
all,3,157,189,1237.7037037037037,0.0,20.0,37.0
all,3,212,0,,,,
all,3,214,262,1152.7213740458014,0.0,19.0,12.0
all,3,215,64,543.078125,0.0,9.0,3.0
all,3,216,24,916.5,0.0,15.0,16.0
all,3,217,8,1460.75,0.0,24.0,20.0
all,3,219,21,2132.0476190476193,0.0,35.0,32.0
all,3,220,71,1627.8591549295775,0.0,27.0,7.0
all,3,221,14,2242.3571428571427,0.0,37.0,22.0
all,3,222,85,1093.235294117647,0.0,18.0,13.0
all,3,223,55,1994.1818181818182,0.0,33.0,14.0
all,3,298,6,1224.3333333333333,0.0,20.0,24.0
all,3,301,44,1026.5681818181818,0.0,17.0,6.0
all,3,367,71,1446.3239436619717,0.0,24.0,6.0
all,3,368,13,1997.6153846153845,0.0,33.0,17.0
all,3,638,27,1659.0740740740741,0.0,27.0,39.0
all,3,639,39,1428.051282051282,0.0,23.0,48.0
all,3,640,18,1154.7777777777778,0.0,19.0,14.0
all,3,641,33,1515.909090909091,0.0,25.0,15.0
all,3,642,8,1577.875,0.0,26.0,17.0
all,3,644,7,3652.1428571428573,1.0,0.0,52.0
all,3,645,109,1014.5412844036697,0.0,16.0,54.0
all,3,646,68,1622.6911764705883,0.0,27.0,2.0
all,3,647,5,1775.6,0.0,29.0,35.0
all,3,788,125,1059.312,0.0,17.0,39.0
all,3,789,68,1455.4117647058824,0.0,24.0,15.0
all,3,790,87,1339.287356321839,0.0,22.0,19.0
all,3,791,11,1197.8181818181818,0.0,19.0,57.0
all,3,792,474,621.6708860759494,0.0,10.0,21.0
all,3,793,56,1091.982142857143,0.0,18.0,11.0
all,3,794,37,1574.5135135135135,0.0,26.0,14.0
all,3,795,147,910.2380952380952,0.0,15.0,10.0
all,3,796,182,1012.9560439560439,0.0,16.0,52.0
all,3,797,151,1304.7152317880796,0.0,21.0,44.0
all,3,798,61,1549.5081967213114,0.0,25.0,49.0
all,3,799,17,1439.764705882353,0.0,23.0,59.0
all,3,800,0,,,,
all,3,801,29,1004.7931034482758,0.0,16.0,44.0
all,3,802,3,1644.3333333333333,0.0,27.0,24.0
all,3,803,473,1010.4651162790698,0.0,16.0,50.0
all,3,804,61,1287.672131147541,0.0,21.0,27.0
all,3,806,148,800.6621621621622,0.0,13.0,20.0
all,3,807,1,2234.0,0.0,37.0,14.0
all,3,808,34,954.3529411764706,0.0,15.0,54.0
all,3,809,107,1424.5420560747664,0.0,23.0,44.0
all,3,810,39,1180.3333333333333,0.0,19.0,40.0
all,3,811,56,1365.0714285714287,0.0,22.0,45.0
all,3,812,169,581.2130177514792,0.0,9.0,41.0
all,3,814,120,726.3083333333333,0.0,12.0,6.0
all,3,815,15,2059.866666666667,0.0,34.0,19.0
all,3,816,13,1242.7692307692307,0.0,20.0,42.0
all,3,817,130,1264.4615384615386,0.0,21.0,4.0
all,3,818,62,1180.5806451612902,0.0,19.0,40.0
all,3,819,171,489.766081871345,0.0,8.0,9.0
all,3,908,15,1266.5333333333333,0.0,21.0,6.0
all,3,1043,67,1012.2388059701492,0.0,16.0,52.0
all,3,1044,543,1274.41620626151,0.0,21.0,14.0
all,3,1045,120,1225.6166666666666,0.0,20.0,25.0
all,3,1046,141,1254.6241134751774,0.0,20.0,54.0
all,3,1047,2,424.5,0.0,7.0,4.0
all,3,1048,105,1222.2571428571428,0.0,20.0,22.0
all,3,1049,108,1186.7314814814815,0.0,19.0,46.0
all,3,1816,33,1660.909090909091,0.0,27.0,40.0
all,3,1887,15,1134.8666666666666,0.0,18.0,54.0
all,3,1888,14,1229.4285714285713,0.0,20.0,29.0
all,3,1889,25,1194.88,0.0,19.0,54.0
all,3,1890,15,1995.2666666666667,0.0,33.0,15.0
all,3,1891,7,1270.2857142857142,0.0,21.0,10.0
all,3,1892,82,966.5487804878048,0.0,16.0,6.0
all,3,1893,86,1226.2906976744187,0.0,20.0,26.0
all,3,1894,127,455.5590551181102,0.0,7.0,35.0
all,3,1895,29,1376.0,0.0,22.0,56.0
all,3,1896,0,,,,
all,3,1897,223,415.609865470852,0.0,6.0,55.0
all,3,1898,133,328.8421052631579,0.0,5.0,28.0
all,3,1899,5,1800.8,0.0,30.0,0.0
all,3,1900,7,1174.7142857142858,0.0,19.0,34.0
all,5,2,50,972.36,0.0,16.0,12.0
all,5,3,296,703.8648648648649,0.0,11.0,43.0
all,5,5,345,716.768115942029,0.0,11.0,56.0
all,5,7,95,649.7578947368421,0.0,10.0,49.0
all,5,8,173,861.5722543352601,0.0,14.0,21.0
all,5,22,21,1231.2857142857142,0.0,20.0,31.0
all,5,24,187,217.62032085561498,0.0,3.0,37.0
all,5,33,10,607.4,0.0,10.0,7.0
all,5,34,86,698.0348837209302,0.0,11.0,38.0
all,5,36,119,1209.126050420168,0.0,20.0,9.0
all,5,49,103,712.7669902912621,0.0,11.0,52.0
all,5,58,67,484.46268656716416,0.0,8.0,4.0
all,5,69,199,506.321608040201,0.0,8.0,26.0
all,5,70,61,801.5409836065573,0.0,13.0,21.0
all,5,75,75,1015.8,0.0,16.0,55.0
all,5,82,64,984.75,0.0,16.0,24.0
all,5,83,34,1449.3235294117646,0.0,24.0,9.0
all,5,87,32,3185.0,0.0,53.0,5.0
all,5,98,26,910.7307692307693,0.0,15.0,10.0
all,5,116,30,732.9666666666667,0.0,12.0,12.0
all,5,117,107,820.1869158878504,0.0,13.0,40.0
all,5,131,102,589.3725490196078,0.0,9.0,49.0
all,5,132,160,634.4875,0.0,10.0,34.0
all,5,138,24,793.0833333333334,0.0,13.0,13.0
all,5,140,7,780.7142857142857,0.0,13.0,0.0
all,5,150,84,1018.1904761904761,0.0,16.0,58.0
all,5,151,67,751.2537313432836,0.0,12.0,31.0
all,5,156,301,550.6179401993355,0.0,9.0,10.0
all,5,157,474,778.9430379746835,0.0,12.0,58.0
all,5,212,0,,,,
all,5,214,123,991.2032520325204,0.0,16.0,31.0
all,5,215,46,607.3695652173913,0.0,10.0,7.0
all,5,216,33,471.6060606060606,0.0,7.0,51.0
all,5,217,31,1131.0645161290322,0.0,18.0,51.0
all,5,219,24,2013.3333333333333,0.0,33.0,33.0
all,5,220,129,1138.5426356589148,0.0,18.0,58.0
all,5,221,26,1801.923076923077,0.0,30.0,1.0
all,5,222,113,557.5221238938053,0.0,9.0,17.0
all,5,223,37,1186.972972972973,0.0,19.0,46.0
all,5,298,11,821.3636363636364,0.0,13.0,41.0
all,5,301,48,911.9791666666666,0.0,15.0,11.0
all,5,367,180,1022.1833333333333,0.0,17.0,2.0
all,5,368,19,1319.8947368421052,0.0,21.0,59.0
all,5,638,67,1028.6716417910447,0.0,17.0,8.0
all,5,639,59,1178.6271186440679,0.0,19.0,38.0
all,5,640,33,1138.3030303030303,0.0,18.0,58.0
all,5,641,48,951.9375,0.0,15.0,51.0
all,5,642,29,475.37931034482756,0.0,7.0,55.0
all,5,644,44,1168.409090909091,0.0,19.0,28.0
all,5,645,257,557.8560311284047,0.0,9.0,17.0
all,5,646,107,1217.1308411214952,0.0,20.0,17.0
all,5,647,81,996.9876543209876,0.0,16.0,36.0
all,5,788,391,473.47314578005114,0.0,7.0,53.0
all,5,789,174,843.9770114942529,0.0,14.0,3.0
all,5,790,229,1347.9563318777293,0.0,22.0,27.0
all,5,791,40,869.175,0.0,14.0,29.0
all,5,792,107,668.1028037383178,0.0,11.0,8.0
all,5,793,45,806.6444444444444,0.0,13.0,26.0
all,5,794,117,873.0940170940171,0.0,14.0,33.0
all,5,795,408,422.14950980392155,0.0,7.0,2.0
all,5,796,458,537.8034934497816,0.0,8.0,57.0
all,5,797,442,618.9411764705883,0.0,10.0,18.0
all,5,798,152,945.3355263157895,0.0,15.0,45.0
all,5,799,11,906.8181818181819,0.0,15.0,6.0
all,5,800,0,,,,
all,5,801,112,614.25,0.0,10.0,14.0
all,5,802,4,912.0,0.0,15.0,12.0
all,5,803,526,489.15019011406844,0.0,8.0,9.0
all,5,804,37,785.1891891891892,0.0,13.0,5.0
all,5,806,542,309.2952029520295,0.0,5.0,9.0
all,5,807,7,1437.857142857143,0.0,23.0,57.0
all,5,808,85,554.1294117647059,0.0,9.0,14.0
all,5,809,168,1085.904761904762,0.0,18.0,5.0
all,5,810,110,761.9181818181818,0.0,12.0,41.0
all,5,811,60,1140.4,0.0,19.0,0.0
all,5,812,323,217.62229102167183,0.0,3.0,37.0
all,5,814,100,524.14,0.0,8.0,44.0
all,5,815,21,1526.952380952381,0.0,25.0,26.0
all,5,816,23,745.0,0.0,12.0,25.0
all,5,817,209,592.2057416267943,0.0,9.0,52.0
all,5,818,76,791.5526315789474,0.0,13.0,11.0
all,5,819,182,574.434065934066,0.0,9.0,34.0
all,5,908,72,778.625,0.0,12.0,58.0
all,5,1043,256,493.53515625,0.0,8.0,13.0
all,5,1044,817,810.7172582619339,0.0,13.0,30.0
all,5,1045,172,653.7848837209302,0.0,10.0,53.0
all,5,1046,285,752.0596491228071,0.0,12.0,32.0
all,5,1047,0,,,,
all,5,1048,148,774.8175675675676,0.0,12.0,54.0
all,5,1049,146,689.027397260274,0.0,11.0,29.0
all,5,1816,175,1051.182857142857,0.0,17.0,31.0
all,5,1887,31,742.5806451612904,0.0,12.0,22.0
all,5,1888,26,934.7692307692307,0.0,15.0,34.0
all,5,1889,54,693.9074074074074,0.0,11.0,33.0
all,5,1890,17,1581.7058823529412,0.0,26.0,21.0
all,5,1891,13,827.7692307692307,0.0,13.0,47.0
all,5,1892,190,521.8526315789474,0.0,8.0,41.0
all,5,1893,141,803.6382978723404,0.0,13.0,23.0
all,5,1894,77,498.4935064935065,0.0,8.0,18.0
all,5,1895,47,1048.0212765957447,0.0,17.0,28.0
all,5,1896,5,1037.6,0.0,17.0,17.0
all,5,1897,348,305.04597701149424,0.0,5.0,5.0
all,5,1898,47,375.0425531914894,0.0,6.0,15.0
all,5,1899,10,1397.3,0.0,23.0,17.0
all,5,1900,49,679.5102040816327,0.0,11.0,19.0
all,7,2,15,486.6666666666667,0.0,8.0,6.0
all,7,3,49,1104.4285714285713,0.0,18.0,24.0
all,7,5,90,620.9,0.0,10.0,20.0
all,7,7,161,776.2173913043479,0.0,12.0,56.0
all,7,8,83,494.1927710843373,0.0,8.0,14.0
all,7,22,36,640.2777777777778,0.0,10.0,40.0
all,7,24,31,745.0322580645161,0.0,12.0,25.0
all,7,33,7,448.57142857142856,0.0,7.0,28.0
all,7,34,6,1412.0,0.0,23.0,32.0
all,7,36,77,507.8831168831169,0.0,8.0,27.0
all,7,49,30,683.9,0.0,11.0,23.0
all,7,58,25,885.8,0.0,14.0,45.0
all,7,69,58,403.13793103448273,0.0,6.0,43.0
all,7,70,14,573.5,0.0,9.0,33.0
