subset,,1,num_trips,avg_duration,hours,minutes,seconds
all,817,817,570,882.2543859649123,0.0,14.0,42.0
all,817,814,553,486.58047016274867,0.0,8.0,6.0
all,817,1048,327,459.7920489296636,0.0,7.0,39.0
all,817,58,24,1149.0,0.0,19.0,9.0
all,817,638,164,593.8963414634146,0.0,9.0,53.0
all,817,1043,382,669.7643979057592,0.0,11.0,9.0
all,817,819,58,972.5344827586207,0.0,16.0,12.0
all,817,1045,198,609.3080808080808,0.0,10.0,9.0
all,817,367,381,472.4724409448819,0.0,7.0,52.0
all,817,7,25,2060.32,0.0,34.0,20.0
all,817,8,322,439.7298136645963,0.0,7.0,19.0
all,817,794,59,951.8644067796611,0.0,15.0,51.0
all,817,75,24,1543.2083333333333,0.0,25.0,43.0
all,817,815,127,1529.236220472441,0.0,25.0,29.0
all,817,151,95,530.2421052631579,0.0,8.0,50.0
all,817,1046,233,328.83261802575106,0.0,5.0,28.0
all,817,156,119,446.65546218487395,0.0,7.0,26.0
all,817,3,130,1264.4615384615386,0.0,21.0,4.0
all,817,49,62,419.3709677419355,0.0,6.0,59.0
all,817,83,162,771.0493827160494,0.0,12.0,51.0
all,817,641,60,396.06666666666666,0.0,6.0,36.0
all,817,789,363,508.93939393939394,0.0,8.0,28.0
all,817,644,125,759.176,0.0,12.0,39.0
all,817,87,85,1145.894117647059,0.0,19.0,5.0
all,817,220,534,523.4588014981273,0.0,8.0,43.0
all,817,809,428,369.3107476635514,0.0,6.0,9.0
all,817,150,194,374.0515463917526,0.0,6.0,14.0
all,817,803,357,447.6750700280112,0.0,7.0,27.0
all,817,98,64,795.078125,0.0,13.0,15.0
all,817,795,105,458.1047619047619,0.0,7.0,38.0
all,817,790,51,553.8823529411765,0.0,9.0,13.0
all,817,640,18,486.94444444444446,0.0,8.0,6.0
all,817,217,201,614.8656716417911,0.0,10.0,14.0
all,817,214,330,486.41818181818184,0.0,8.0,6.0
all,817,797,770,689.9532467532467,0.0,11.0,29.0
all,817,221,237,962.2151898734177,0.0,16.0,2.0
all,817,219,196,1209.7857142857142,0.0,20.0,9.0
all,817,140,2,1488.5,0.0,24.0,48.0
all,817,799,85,589.9176470588235,0.0,9.0,49.0
all,817,132,56,776.3035714285714,0.0,12.0,56.0
