start_station_id,name,latitude,longitude
2,Årstad kirke,60.37517596107242,5.351298808527645
3,Grieghallen,60.38819667374428,5.328564137089416
5,Solheimsviken,60.37711952025095,5.335721728558383
7,Neumannsgate,60.39145484865607,5.31889235970084
8,Haukeland sykehus,60.373637920628255,5.35659456239955
22,Skur 11,60.39638423113168,5.324169337618514
24,Studentboligene,60.378024641518735,5.350818157212416
33,Høgskulen på Vestlandet,60.369179844976586,5.349443793165847
34,Cornerteateret,60.382595986002,5.325332343545597
36,Torgalmenningen,60.39291769029913,5.323669092809325
49,Studentsenteret UIB,60.38719801795013,5.322980046239536
58,Tårnplass,60.39375532002469,5.3217920958013565
69,Laksevåg v/Kirkebukten,60.386068777690944,5.3001083072740585
70,Laksevåg senter,60.38963215691683,5.286516470683409
75,Akvariet,60.39987652272946,5.304686307890734
82,Den Nationale Scene,60.39245536165015,5.320185176096857
83,Bergen jernbanestasjon,60.39032443075989,5.332439659978263
87,ADO arena,60.38543124330305,5.337431780062616
98,Brann Stadion,60.36772740135074,5.3553457904602055
116,Lysverket,60.38954252437773,5.329622268545791
117,Verftet,60.395877002094046,5.307755827707297
131,Gulating,60.391983600413376,5.32661819461282
132,Nøstetorget,60.39222475946063,5.314881116119068
138,Strankaien / C.Sunds gate,60.39947506336557,5.308762204430565
140,Sandviksbodene,60.40569501689435,5.323373526334763
150,Torget,60.39587808663882,5.325283812313046
151,Småstrandgaten,60.39309812241306,5.327022724925882
156,Allehelgens plass,60.39265146337743,5.328976911981613
157,Høyteknologisenteret,60.382254745562825,5.3323324699108525
212,Klosteret,60.395137943082446,5.314946630388022
214,Nygårdsporten,60.3839343833222,5.333450454511649
215,Nonneseterplass,60.38967202352878,5.3336050852019525
216,Johanneskirken,60.38853002489311,5.318665231464365
217,Nykirkekaien,60.39705738914522,5.314548482139799
219,Jonsvollkvartalet,60.39267683527631,5.317308285189142
220,Møllendalsplass,60.379685765470725,5.3519936304809335
221,Sandvikstorget,60.408582102784685,5.322648583141813
222,Sandviken Brygge,60.41292872155995,5.320473627367278
223,Rådhuset,60.39168071231371,5.327895003562276
298,Østre Murallmenningen øvre,60.39397677863768,5.318713236118583
301,Lars Hilles,60.3881178890904,5.331487235597251
367,Haraldsplass,60.37911124360612,5.361202283994771
368,Festplassen,60.391123958982405,5.325713785893413
638,Damsgårdsallmenningen,60.3867091497868,5.299130112557805
639,Frydenbø Marina,60.384467341026586,5.310007717995973
640,Damsgårdsveien,60.38151150199543,5.319435364152128
641,Krohnviken,60.37810721367397,5.331020769519228
642,Bøhmergaten,60.37625279587285,5.334276104612741
644,Solheimsgaten COOP Extra,60.375289459038605,5.338395498728005
645,Odontologen,60.3796983237384,5.359896670658031
646,Bjørnsonsgate,60.373985939857135,5.342082137178068
647,Edvards Grieg vei,60.37357695619222,5.341496490750615
788,Danmarksplass,60.376082994809856,5.339851409058042
789,Busstasjonen 1 Nord,60.38890977889046,5.333817119783134
790,Busstasjonen 3  Øst,60.38785633733042,5.334459219764085
791,Busstasjonen 4 Sør,60.38705878935416,5.335633911730724
792,Busstasjonen 2 Vest,60.38828383354144,5.332872680372475
793,Zander Kaas gate,60.390108717939874,5.3353874337574325
