subset,end_station_id,hour,avg_trips
all,2,5,0.268361581920904
all,2,6,0.2994350282485876
all,2,7,0.1751412429378531
all,2,8,0.20056497175141244
all,2,9,0.1497175141242938
all,2,10,0.2288135593220339
all,2,11,0.2457627118644068
all,2,12,0.2966101694915254
all,2,13,0.3361581920903955
all,2,14,0.2627118644067797
all,2,15,0.2740112994350282
all,2,16,0.23728813559322035
all,2,17,0.24293785310734464
all,2,18,0.2062146892655367
all,2,19,0.15254237288135594
all,2,20,0.16666666666666666
all,2,21,0.05649717514124294
all,2,22,0.03954802259887006
all,2,23,0.02824858757062147
all,3,5,0.5338983050847458
all,3,6,1.7570621468926553
all,3,7,2.9858757062146895
all,3,8,2.906779661016949
all,3,9,2.7824858757062145
all,3,10,2.330508474576271
all,3,11,2.6920903954802258
all,3,12,3.121468926553672
all,3,13,3.9915254237288136
all,3,14,5.350282485875706
all,3,15,4.892655367231638
all,3,16,4.522598870056497
all,3,17,4.169491525423729
all,3,18,3.248587570621469
all,3,19,2.906779661016949
all,3,20,2.457627118644068
all,3,21,1.9915254237288136
all,3,22,1.0169491525423728
all,3,23,0.2740112994350282
all,5,5,2.6129943502824857
all,5,6,3.384180790960452
all,5,7,2.7457627118644066
all,5,8,2.0112994350282487
all,5,9,1.8926553672316384
all,5,10,2.403954802259887
all,5,11,2.8022598870056497
all,5,12,3.593220338983051
all,5,13,4.7824858757062145
all,5,14,5.19774011299435
all,5,15,4.757062146892656
all,5,16,3.559322033898305
all,5,17,3.1129943502824857
all,5,18,2.531073446327684
all,5,19,2.26271186440678
all,5,20,1.8022598870056497
all,5,21,1.6977401129943503
all,5,22,0.6412429378531074
all,5,23,0.096045197740113
all,7,5,0.8220338983050848
all,7,6,1.6694915254237288
all,7,7,2.1073446327683616
all,7,8,1.2401129943502824
all,7,9,1.3135593220338984
all,7,10,1.5706214689265536
all,7,11,1.694915254237288
all,7,12,2.290960451977401
all,7,13,2.731638418079096
all,7,14,3.0875706214689265
all,7,15,3.367231638418079
all,7,16,3.231638418079096
all,7,17,3.23728813559322
all,7,18,3.1129943502824857
all,7,19,2.4180790960451977
all,7,20,1.7259887005649717
all,7,21,1.268361581920904
all,7,22,0.7231638418079096
all,7,23,0.2062146892655367
all,8,5,0.4604519774011299
all,8,6,0.5056497175141242
all,8,7,0.4350282485875706
all,8,8,0.20903954802259886
all,8,9,0.2824858757062147
all,8,10,0.3135593220338983
all,8,11,0.4435028248587571
all,8,12,0.4378531073446328
all,8,13,0.4067796610169492
all,8,14,0.2824858757062147
all,8,15,0.3050847457627119
all,8,16,0.2344632768361582
all,8,17,0.22033898305084745
all,8,18,0.17796610169491525
all,8,19,0.14689265536723164
all,8,20,0.07062146892655367
all,8,21,0.06779661016949153
all,8,22,0.031073446327683617
all,8,23,0.01694915254237288
all,22,5,0.7062146892655368
all,22,6,1.4435028248587571
all,22,7,1.1440677966101696
all,22,8,1.0056497175141244
all,22,9,1.0875706214689265
all,22,10,1.3361581920903955
all,22,11,1.6412429378531073
all,22,12,1.9067796610169492
all,22,13,2.437853107344633
all,22,14,2.516949152542373
all,22,15,2.2175141242937855
all,22,16,2.146892655367232
all,22,17,1.9576271186440677
all,22,18,1.8220338983050848
all,22,19,1.3587570621468927
all,22,20,1.0084745762711864
all,22,21,0.711864406779661
all,22,22,0.22598870056497175
all,22,23,0.11299435028248588
all,24,5,1.3728813559322033
all,24,6,1.5084745762711864
all,24,7,1.03954802259887
all,24,8,1.112994350282486
all,24,9,1.2627118644067796
all,24,10,1.6016949152542372
all,24,11,2.4293785310734464
all,24,12,2.8813559322033897
all,24,13,3.7401129943502824
all,24,14,4.096045197740113
all,24,15,3.505649717514124
all,24,16,3.285310734463277
all,24,17,2.711864406779661
all,24,18,2.5706214689265536
all,24,19,2.443502824858757
all,24,20,2.1610169491525424
all,24,21,1.8898305084745763
all,24,22,0.884180790960452
all,24,23,0.2796610169491525
all,33,5,0.15254237288135594
all,33,6,0.4774011299435028
all,33,7,0.8926553672316384
all,33,8,0.4915254237288136
all,33,9,0.6045197740112994
all,33,10,0.3813559322033898
all,33,11,0.4774011299435028
all,33,12,0.7401129943502824
all,33,13,0.9491525423728814
all,33,14,1.2796610169491525
all,33,15,0.9350282485875706
all,33,16,0.7203389830508474
all,33,17,0.7203389830508474
all,33,18,0.4915254237288136
all,33,19,0.3305084745762712
all,33,20,0.2824858757062147
all,33,21,0.20903954802259886
all,33,22,0.14689265536723164
all,33,23,0.08757062146892655
all,34,5,1.2937853107344632
all,34,6,2.8870056497175143
all,34,7,3.2429378531073447
all,34,8,2.093220338983051
all,34,9,2.3135593220338984
all,34,10,2.562146892655367
all,34,11,2.7824858757062145
all,34,12,3.175141242937853
all,34,13,3.8757062146892656
all,34,14,4.505649717514125
all,34,15,3.9350282485875705
all,34,16,3.330508474576271
all,34,17,2.968926553672316
all,34,18,2.248587570621469
all,34,19,1.728813559322034
all,34,20,1.4830508474576272
all,34,21,0.7711864406779662
all,34,22,0.3954802259887006
all,34,23,0.1271186440677966
all,36,5,1.807909604519774
all,36,6,3.146892655367232
all,36,7,2.596045197740113
all,36,8,2.3926553672316384
all,36,9,2.790960451977401
all,36,10,3.2966101694915255
all,36,11,3.8587570621468927
all,36,12,4.570621468926554
all,36,13,5.827683615819209
all,36,14,5.923728813559322
all,36,15,4.822033898305085
all,36,16,4.423728813559322
all,36,17,3.689265536723164
all,36,18,3.0847457627118646
all,36,19,2.330508474576271
all,36,20,1.7401129943502824
all,36,21,1.1440677966101696
all,36,22,0.4152542372881356
all,36,23,0.1440677966101695
all,49,5,0.3813559322033898
all,49,6,0.8587570621468926
all,49,7,0.9322033898305084
all,49,8,0.7711864406779662
all,49,9,0.9096045197740112
all,49,10,1.0423728813559323
all,49,11,1.0706214689265536
all,49,12,1.0932203389830508
all,49,13,1.3728813559322033
all,49,14,1.3163841807909604
all,49,15,1.6468926553672316
all,49,16,1.1779661016949152
all,49,17,0.9830508474576272
all,49,18,0.6497175141242938
all,49,19,0.5282485875706214
all,49,20,0.3926553672316384
all,49,21,0.2740112994350282
all,49,22,0.1553672316384181
all,49,23,0.06779661016949153
all,58,5,1.5508474576271187
all,58,6,3.6271186440677967
all,58,7,3.3022598870056497
all,58,8,2.2203389830508473
all,58,9,2.361581920903955
all,58,10,2.8926553672316384
all,58,11,3.1497175141242937
all,58,12,3.946327683615819
all,58,13,4.861581920903955
all,58,14,4.745762711864407
all,58,15,4.192090395480226
all,58,16,2.6412429378531073
all,58,17,1.5960451977401129
all,58,18,1.387005649717514
all,58,19,1.4322033898305084
all,58,20,1.5141242937853108
all,58,21,0.576271186440678
all,58,22,0.5169491525423728
all,58,23,0.9067796610169492
all,69,5,0.5338983050847458
all,69,6,0.5649717514124294
all,69,7,0.288135593220339
all,69,8,0.3305084745762712
all,69,9,0.5819209039548022
all,69,10,0.692090395480226
all,69,11,1.0141242937853108
all,69,12,1.307909604519774
